,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-class
0,39,5,77516,9,13,4,0,1,4,0,2174,0,40,0,0
1,50,4,83311,9,13,2,3,0,4,0,0,0,13,0,0
2,38,2,215646,11,9,0,5,1,4,0,0,0,40,0,0
3,53,2,234721,1,7,7,5,0,2,0,0,0,40,0,0
4,28,2,338409,9,13,2,9,5,2,1,0,0,40,1,0
5,37,2,284582,12,14,2,3,5,4,1,0,0,40,0,0
6,49,2,160187,6,5,3,7,1,2,1,0,0,16,2,0
7,52,4,209642,11,9,2,3,0,4,0,0,0,45,0,1
8,31,2,45781,12,14,4,9,1,4,1,14084,0,50,0,1
9,42,2,159449,9,13,2,3,0,4,0,5178,0,40,0,1
10,37,2,280464,15,10,2,3,0,2,0,0,0,80,0,1
11,30,5,141297,9,13,2,9,0,1,0,0,0,40,3,1
12,23,2,122272,9,13,4,0,3,4,1,0,0,30,0,0
13,32,2,205019,7,12,4,11,1,2,0,0,0,50,0,0
15,34,2,245487,5,4,2,13,0,0,0,0,0,45,4,0
16,25,4,176756,11,9,4,4,3,4,0,0,0,35,0,0
17,32,2,186824,11,9,4,6,4,4,0,0,0,40,0,0
18,38,2,28887,1,7,2,11,0,4,0,0,0,50,0,0
19,43,4,292175,12,14,0,3,4,4,1,0,0,45,0,1
20,40,2,193524,10,16,2,9,0,4,0,0,0,60,0,1
21,54,2,302146,11,9,5,7,4,2,1,0,0,20,0,0
22,35,0,76845,6,5,2,4,0,2,0,0,0,40,0,0
23,43,2,117037,1,7,2,13,0,4,0,0,2042,40,0,0
24,59,2,109015,11,9,0,12,4,4,1,0,0,40,0,0
25,56,1,216851,9,13,2,12,0,4,0,0,0,40,0,1
26,19,2,168294,11,9,4,2,3,4,0,0,0,40,0,0
28,39,2,367260,11,9,0,3,1,4,0,0,0,80,0,0
29,49,2,193366,11,9,2,2,0,4,0,0,0,40,0,0
30,23,1,190709,7,12,4,10,1,4,0,0,0,52,0,0
31,20,2,266015,15,10,4,11,3,2,0,0,0,44,0,0
32,45,2,386940,9,13,0,3,3,4,0,0,1408,40,0,0
33,30,0,59951,15,10,2,0,3,4,0,0,0,40,0,0
34,22,5,311512,15,10,2,7,0,2,0,0,0,15,0,0
35,48,2,242406,1,7,4,6,4,4,0,0,0,40,5,0
36,21,2,197200,15,10,4,6,3,4,0,0,0,40,0,0
37,19,2,544091,11,9,1,0,5,4,1,0,0,25,0,0
39,48,4,265477,7,12,2,9,0,4,0,0,0,40,0,0
40,31,2,507875,6,5,2,6,0,4,0,0,0,43,0,0
41,53,4,88506,9,13,2,9,0,4,0,0,0,40,0,0
42,24,2,172987,9,13,2,12,0,4,0,0,0,50,0,0
43,49,2,94638,11,9,5,0,4,4,1,0,0,40,0,0
44,25,2,289980,11,9,4,5,1,4,0,0,0,35,0,0
45,57,0,337895,9,13,2,9,0,2,0,0,0,40,0,1
46,53,2,144361,11,9,2,6,0,4,0,0,0,38,0,0
47,44,2,128354,12,14,0,3,4,4,1,0,0,40,0,0
48,41,5,101603,8,11,2,2,0,4,0,0,0,40,0,0
49,29,2,271466,8,11,4,9,1,4,0,0,0,43,0,0
50,25,2,32275,15,10,2,3,5,3,1,0,0,40,0,0
52,47,2,51835,14,15,2,9,5,4,1,0,1902,60,6,1
53,50,0,251585,9,13,0,3,1,4,0,0,0,55,0,1
54,47,3,109832,11,9,0,3,1,4,0,0,0,60,0,0
55,43,2,237993,15,10,2,12,0,4,0,0,0,40,0,1
56,46,2,216666,4,3,2,6,0,4,0,0,0,40,4,0
57,35,2,56352,8,11,2,7,0,4,0,0,0,40,5,0
58,41,2,147372,11,9,2,0,0,4,0,0,0,48,0,0
59,30,2,188146,11,9,2,6,0,4,0,5013,0,40,0,0
60,30,2,59496,9,13,2,11,0,4,0,2407,0,40,0,0
62,48,2,149640,11,9,2,13,0,4,0,0,0,40,0,0
63,42,2,116632,10,16,2,9,0,4,0,0,0,45,0,1
64,29,2,105598,15,10,0,12,1,4,0,0,0,58,0,0
65,36,2,155537,11,9,2,2,0,4,0,0,0,40,0,0
66,28,2,183175,15,10,0,0,1,4,1,0,0,40,0,0
67,53,2,169846,11,9,2,0,5,4,1,0,0,40,0,1
68,49,3,191681,15,10,2,3,0,4,0,0,0,50,0,1
70,19,2,101509,15,10,4,9,3,4,0,0,0,32,0,0
71,31,2,309974,9,13,5,11,3,2,1,0,0,40,0,0
72,29,4,162298,9,13,2,11,0,4,0,0,0,70,0,1
73,23,2,211678,15,10,4,6,1,4,0,0,0,40,0,0
74,79,2,124744,15,10,2,9,2,4,0,0,0,20,0,0
75,27,2,213921,11,9,4,7,3,4,0,0,0,40,4,0
76,40,2,32214,7,12,2,0,0,4,0,0,0,40,0,0
78,18,2,309634,1,7,4,7,3,4,1,0,0,22,0,0
79,31,1,125927,5,4,2,4,0,4,0,0,0,40,0,0
80,18,2,446839,11,9,4,11,1,4,0,0,0,30,0,0
81,52,2,276515,9,13,2,7,0,4,0,0,0,40,1,0
82,46,2,51618,11,9,2,7,5,4,1,0,0,40,0,0
83,59,2,159937,11,9,2,11,0,4,0,0,0,48,0,0
84,44,2,343591,11,9,0,2,1,4,1,14344,0,40,0,1
85,53,2,346253,11,9,0,11,3,4,1,0,0,35,0,0
86,49,1,268234,11,9,2,10,0,4,0,0,0,40,0,1
87,33,2,202051,12,14,2,9,0,4,0,0,0,50,0,0
88,30,2,54334,6,5,4,11,1,4,0,0,0,40,0,0
89,43,0,410867,10,16,4,9,1,4,1,0,0,50,0,1
90,57,2,249977,8,11,2,9,0,4,0,0,0,40,0,0
91,37,2,286730,15,10,0,2,4,4,1,0,0,40,0,0
92,28,2,212563,15,10,0,6,4,2,1,0,0,25,0,0
94,34,1,226296,9,13,2,10,0,4,0,0,0,40,0,1
95,29,1,115585,15,10,4,5,1,4,0,0,0,50,0,0
96,48,4,191277,10,16,2,9,0,4,0,0,1902,60,0,1
97,37,2,202683,15,10,2,11,0,4,0,0,0,48,0,1
98,48,2,171095,7,12,0,3,4,4,1,0,0,40,7,0
99,32,0,249409,11,9,4,7,3,2,0,0,0,40,0,0
100,76,2,124191,12,14,2,3,0,4,0,0,0,40,0,1
101,44,2,198282,9,13,2,3,0,4,0,15024,0,60,0,1
102,47,4,149116,12,14,4,9,1,4,1,0,0,50,0,0
103,20,2,188300,15,10,4,12,3,4,1,0,0,40,0,0
104,29,2,103432,11,9,4,2,1,4,0,0,0,40,0,0
105,32,3,317660,11,9,2,2,0,4,0,7688,0,40,0,1
107,30,2,194901,1,7,4,5,3,4,0,0,0,40,0,0
108,31,1,189265,11,9,4,0,1,4,1,0,0,40,0,0
109,42,2,124692,11,9,2,5,0,4,0,0,0,40,0,0
110,24,2,432376,9,13,4,11,2,4,0,0,0,40,0,0
111,38,2,65324,14,15,2,9,0,4,0,0,0,40,0,1
112,56,4,335605,11,9,2,7,0,4,0,0,1887,50,8,1
113,28,2,377869,15,10,2,11,5,4,1,4064,0,25,0,0
114,36,2,102864,11,9,4,6,3,4,1,0,0,40,0,0
115,53,2,95647,6,5,2,5,0,4,0,0,0,50,0,0
116,56,3,303090,15,10,2,11,0,4,0,0,0,50,0,0
117,49,1,197371,8,11,2,2,0,2,0,0,0,40,0,1
118,55,2,247552,15,10,2,11,0,4,0,0,0,56,0,0
119,22,2,102632,11,9,4,2,1,4,0,0,0,41,0,0
120,21,2,199915,15,10,4,7,3,4,1,0,0,40,0,0
121,40,2,118853,9,13,2,3,0,4,0,0,0,60,0,0
122,30,2,77143,9,13,4,3,3,2,0,0,0,40,9,0
123,29,5,267989,9,13,2,9,0,4,0,0,0,50,0,1
124,19,2,301606,15,10,4,7,3,2,0,0,0,35,0,0
125,47,2,287828,9,13,2,3,5,4,1,0,0,40,0,1
126,20,2,111697,15,10,4,0,3,4,1,0,1719,28,0,0
127,31,2,114937,7,12,2,0,0,4,0,0,0,40,0,1
129,39,2,365739,15,10,0,2,1,4,0,0,0,40,0,0
130,28,2,69621,7,12,4,11,1,4,1,0,0,60,0,0
131,24,2,43323,11,9,4,7,1,4,1,0,1762,40,0,0
132,38,4,120985,11,9,2,2,0,4,0,4386,0,35,0,0
133,37,2,254202,9,13,2,11,0,4,0,0,0,50,0,0
134,46,2,146195,7,12,0,12,1,2,1,0,0,36,0,0
135,38,0,125933,12,14,2,9,0,4,0,0,0,40,10,1
136,43,4,56920,11,9,2,2,0,4,0,0,0,60,0,0
137,27,2,163127,8,11,2,0,5,4,1,0,0,35,0,0
138,20,2,34310,15,10,4,11,3,4,0,0,0,20,0,0
139,49,2,81973,15,10,2,2,0,1,0,0,0,40,0,1
140,61,3,66614,11,9,2,2,0,4,0,0,0,40,0,0
141,27,2,232782,15,10,4,11,3,4,1,0,0,40,0,0
142,19,2,316868,15,10,4,7,3,4,0,0,0,30,4,0
143,45,2,196584,8,11,4,9,1,4,1,0,1564,40,0,1
144,70,2,105376,15,10,4,12,2,4,0,0,0,40,0,0
145,31,2,185814,11,9,4,13,4,2,1,0,0,30,0,0
146,22,2,175374,15,10,2,7,0,4,0,0,0,24,0,0
